8.275861999999997920e+01 6.724138000000002080e+01 6.206896999999997888e+01 4.568965999999998928e+01 2.418517099999999864e+00 2.371445500000000095e+00 2.474853799999999993e+00 2.528527400000000203e+00
7.327585999999999444e+01 7.327585999999999444e+01 6.034483000000001596e+01 5.344828000000001111e+01 2.413534199999999963e+00 2.387861500000000081e+00 2.445364399999999883e+00 2.531152099999999905e+00
6.842104999999997972e+01 6.491228000000002396e+01 6.578946999999999434e+01 4.912280999999998699e+01 2.444599199999999861e+00 2.430623999999999896e+00 2.461332899999999935e+00 2.522537799999999830e+00
7.410714000000000112e+01 7.321428999999999121e+01 4.910714000000000112e+01 4.732142999999999944e+01 2.430356999999999879e+00 2.421366400000000141e+00 2.484986099999999976e+00 2.526060600000000100e+00
6.272726999999997588e+01 5.000000000000000000e+01 4.363635999999999626e+01 4.181818000000001234e+01 2.431847400000000103e+00 2.401583599999999930e+00 2.468392900000000001e+00 2.566292900000000099e+00
4.909091000000000804e+01 3.909091000000000093e+01 3.181818000000000524e+01 3.909091000000000093e+01 2.409191900000000164e+00 2.418141199999999991e+00 2.442616000000000120e+00 2.543239400000000039e+00
4.259259000000001549e+01 3.333333000000000368e+01 3.055555999999999273e+01 3.909091000000000093e+01 2.414980700000000091e+00 2.410205299999999884e+00 2.461210599999999804e+00 2.543239400000000039e+00
2.075472000000000605e+01 2.264151000000001090e+01 1.886792000000001579e+01 3.301886999999999261e+01 2.394956500000000155e+00 2.412994499999999931e+00 2.446886300000000070e+00 2.511336599999999919e+00
1.250000000000000000e+01 1.442307999999998813e+01 1.634614999999999441e+01 1.634614999999999441e+01 2.392622600000000155e+00 2.379493399999999870e+00 2.459777599999999786e+00 2.515827900000000117e+00
3.921570000000018652e+00 7.843139999999992895e+00 1.274510000000002030e+01 1.764706000000000330e+01 2.407790599999999781e+00 2.374280699999999911e+00 2.406759999999999788e+00 2.484651700000000130e+00
